Region,Year,Count,Type,Area_km2
Victoria,2007,23230,Total,227416
Victoria,2008,23271,Total,227416
Victoria,2009,23272,Total,227416
Victoria,2010,23339,Total,227416
Victoria,2011,23388,Total,227416
Victoria,2012,23403,Total,227416
Victoria,2013,23343,Total,227416
Victoria,2014,23271,Total,227416
Victoria,2015,23247,Total,227416
Victoria,2016,23223,Total,227416
Victoria,2017,23248,Total,227416
Victoria,2018,23290,Total,227416
Victoria,2019,23348,Total,227416
Victoria,2020,23226,Total,227416
Victoria,2021,23205,Total,227416
Victoria,2022,23200,Total,227416
Victoria,2023,23332,Total,227416
Victoria,2024,23332,Total,227416
Western Australia,1750,51281,Total,2529875
Western Australia,1990,44970,Total,2529875
Western Australia,1991,44897,Total,2529875
Western Australia,1992,44925,Total,2529875
Western Australia,1993,45074,Total,2529875
Western Australia,1994,45124,Total,2529875
Western Australia,1995,45066,Total,2529875
Western Australia,1996,44971,Total,2529875
Western Australia,1997,44853,Total,2529875
Western Australia,1998,44834,Total,2529875
Western Australia,1999,44825,Total,2529875
Western Australia,2000,44862,Total,2529875
Western Australia,2001,44948,Total,2529875
Western Australia,2002,45126,Total,2529875
Western Australia,2003,45133,Total,2529875
Western Australia,2004,45175,Total,2529875
Western Australia,2005,45066,Total,2529875
Western Australia,2006,45044,Total,2529875
Western Australia,2007,45058,Total,2529875
Western Australia,2008,44998,Total,2529875
Western Australia,2009,44906,Total,2529875
Western Australia,2010,44823,Total,2529875
Western Australia,2011,44867,Total,2529875
Western Australia,2012,44962,Total,2529875
Western Australia,2013,45086,Total,2529875
Western Australia,2014,45112,Total,2529875
Western Australia,2015,45086,Total,2529875
Western Australia,2016,44925,Total,2529875
Western Australia,2017,44916,Total,2529875
Western Australia,2018,44958,Total,2529875
Western Australia,2019,45033,Total,2529875
Western Australia,2020,44927,Total,2529875
Western Australia,2021,44876,Total,2529875
Western Australia,2022,44843,Total,2529875
Western Australia,2023,44882,Total,2529875
Western Australia,2024,44846,Total,2529875
