Region,1750,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,828,739.152,738.8135,739.6105,741.3563,742.7598,741.7723,740.9701,738.7798,739.515,739.794,739.1686,740.0245,742.1761,743.9872,744.5549,743.0258,742.5112,742.3504,742.3547,742.0535,741.4615,740.7831,740.7449,742.0651,742.5616,742.3265,739.7448,739.8064,740.7476,742.6692,741.342,740.6085,739.2317,739.5688,738.4995
