Region,1750,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,49267,43327.3438,43306.9531,43364.7383,43483.582,43571.9766,43507.6289,43455.3711,43335.6914,43364.8633,43388.207,43366.9648,43438.0234,43569.0391,43644.082,43667.3242,43560.0547,43550.6914,43530.3242,43531.9688,43502.5234,43461.0,43450.4102,43460.2422,43548.2852,43556.2188,43547.6406,43393.0039,43408.5547,43454.4688,43565.2266,43465.3477,43425.2461,43362.918,43411.5469,43349.9844
